Result,Keyword,Screening,Citation,Author,Year,Title,Journal,Vol,Nr,Pages
Water Science & Technology 28:11-12 (1993) 37-43 - M. J. Parker et al. - Functional Approach Leads to Successful ICA across 124 Water and 389 Wastewater Treatment Works,Customer,Selected,Parker et al. 1993,M.J. Parker,1993,Functional Approach Leads to Successful ICA across 124 Water and 389 Wastewater Treatment Works,Water Science & Technology,28,11-12,37-43
Water Policy 8:3 (2006) 211-229 Geraldine Pflieger - The French model of water supply management challenged by users' empowerment,Consumer,Selected,Pflieger 2006,Geraldine Pflieger,2006,The French model of water supply management challenged by users' empowerment,Water Policy,8,3,211-229
Water Science & Technology 49:9 (2004) 321-328 - P. Piriou et al. - Chlorinous flavor perception in drinking water,Consumer,Selected,Piriou 2004,P. Piriou,2004,Chlorinous flavor perception in drinking water,Water Science & Technology,49,9,321-328
Journal of Water Supply: Research and Technology-AQUA 58:8 (2009) 532-538 - P. Piriou et al. - European reassessment of MIB and geosmin perception in drinking water,Customer,Selected,Piriou et al. 2009,P. Piriou,2009,European reassessment of MIB and geosmin perception in drinking water,"Journal of Water Supply, Research and Technology---Aqua",58,8,532-538
Water Supply 3:1-2 (2003) 295-306 - M. Polychronopolous et al. - Investigation of factors contributing to dirty water events in reticulation systems and evaluation of flushing methods to remove deposited particles,Customer,Selected,Polychronopolous et al. 2003,M. Polychronopolous,2003,Investigation of factors contributing to dirty water events in reticulation systems and evaluation of flushing methods to remove deposited particles,Water Supply,31,1-2,295-306
Water Policy 6:5-6 (2004) 427-441 N. A. Powe et al.: - Assessing customer preferences for water supply options using mixed methodology choice experiments,Consumer,Selected,Powe et al. 2004,N.A. Powe,2004,Assessing customer preferences for water supply options using mixed methodology choice experiments,Water Policy,6,5-6,427-441
Water Policy 6:5-6 (2004) 427-441 N. A. Powe et al.: - Assessing customer preferences for water supply options using mixed methodology choice experiments,Customer,Selected,Powe et al. 2004,N.A. Powe,2004,Assessing customer preferences for water supply options using mixed methodology choice experiments,Water Policy,6,5-6,427-441
Water Science & Technology 55:5 (2007) 177-183 - F. Proulx et al. - A methodology for identifying vulnerable locations to taste and odour problems in a drinking water system,Consumer,Selected,Proulx et al. 2007,F. Proulx,2007,A methodology for identifying vulnerable locations to taste and odour problems in a drinking water system,Water Science & Technology,55,5,177-183
Water Science & Technology: Water Supply-WSTWS 10:3 (2010) 472-485 - F. Proulx et al. - Factors influencing public perception and use of municipal drinking water,Consumer,Selected,Proulx et al. 2010,F. Proulx,2010,Factors influencing public perception and use of municipal drinking water,Water Science & Technology: Water Supply-WSTWS,10,3,472-485
Water Practice & Technology 002:04 (2007) - M. Puffer & L.B.A. Al-Musallam - Water Stewardship in the Desert: Water Conservation Projects in the Kingdom of Saudi Arabia,Customer,Selected,Puffer and Al-Musallam 2007,M. Puffer & L.B.A. Al-Musallam,2007,Water Stewardship in the Desert: Water Conservation Projects in the Kingdom of Saudi Arabia,Water Practice & Technology,2,4,
"Sabine Puget, Noëlle Beno, Claire Chabanet, Elisabeth Guichard, Thierry Thomas-Danguin, Tap water consumers differ from non-consumers in chlorine flavor acceptability but not sensitivity, Water Research, Volume 44, Issue 3, February 2010, Pages 956-964, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2009.10.009.",Consumer,Selected,Puget et al. 2010,Sabine Puget and Noëlle Beno and Claire Chabanet and Elisabeth Guichard and Thierry Thomas-Danguin,2010,Tap water consumers differ from non-consumers in chlorine flavor acceptability but not sensitivity,Water Research,44,3,956-964
Water Science & Technology 44:6 (2001) 127-134 - P. Pybus and G. Schoeman - Performance indicators in water and sanitation for developing areas,Consumer,Selected,Pybus and Schoeman 2001,P. Pybus and G. Schoeman,2001,Performance indicators in water and sanitation for developing areas,Water Science & Technology,44,6,127-134
Journal of Water Supply: Research and Technology-AQUA 56:6?7 (2007) 419-423 - Tony Rachwal - 30 Years of technical and organisational development in the UK water sector: Thames Water's experiences of moving from public to private sector,Customer,Selected,Rachwal 2007,Tony Rachwal,2007,30 Years of technical and organisational development in the UK water sector: Thames Water's experiences of moving from public to private sector,"Journal of Water Supply, Research and Technology---Aqua",56,6-7,419-423
"M. Safiur Rahman, Graham A. Gagnon, Bench-scale evaluation of drinking water treatment parameters on iron particles and water quality, Water Research, Volume 48, 1 January 2014, Pages 137-147, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2013.09.018.",Customer,Selected,Rahman and Gangon 2014,M. Safiur Rahman and Graham A. Gagnon,2014,Bench-scale evaluation of drinking water treatment parameters on iron particles and water quality,Water Research,48,,137-147
Water Practice & Technology 3:1 (2008) - A.B Ramaker and L.C. Pollemans - Online metering changes the water industry,Customer,Selected,Ramaker and Pollemans 2008,A.B Ramaker and L.C. Pollemans,2008,Online metering changes the water industry,Water Practice & Technology,3,1,
"R. Rehan, M.A. Knight, A.J.A. Unger, C.T. Haas, Development of a system dynamics model for financially sustainable management of municipal watermain networks, Water Research, Volume 47, Issue 20, 15 December 2013, Pages 7184-7205, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2013.09.061.",Consumer,Selected,Rehan et al. 2013,R. Rehan and M.A. Knight and A.J.A. Unger and C.T. Haas,2013,Development of a system dynamics model for financially sustainable management of municipal watermain networks,Water Research,47,20,7184-7205
Water Science & Technology: Water Supply-WSTWS 10:3 (2010) 367-375 - Scott Reid et al. - Determining the optimal investment plan for water utilities: the case of Veolia Water Central,Customer,Selected,Reid et al. 2010,Scott Reid,2010,Determining the optimal investment plan for water utilities: the case of Veolia Water Central,Water Science & Technology: Water Supply-WSTWS,10,3,367-375
Journal of Water and Health 5:Suppl 1 (2007) S19-S38 - Helen L. Risebro and Paul R. Hunter - Surveillance of waterborne disease in European member states: a qualitative study,Consumer,Selected,Risebro and Hunter 2007,Helen L. Risebro and Paul R. Hunter,2007,Surveillance of waterborne disease in European member states: a qualitative study,Journal of Water and Health,5,S1,S19-S38
Water Practice & Technology 6:4 (2011) - Virgilio C. Rivera - The business of water: going the corporate way the case of Manila water,Customer,Selected,Rivera 2011,Virgillio R. Rivera,2011,The business of water: going the corporate way the case of Manila water,Water Practice & Technology,6,4,
Journal of Water Supply: Research and Technology-AQUA 61:8 (2012) 506-517 - Channah Rock et al. - Survey of statewide public perceptions regarding water reuse in Arizona,Consumer,Selected,Rock et al. 2012,Channah Rock,2012,Survey of statewide public perceptions regarding water reuse in Arizona,"Journal of Water Supply, Research and Technology---Aqua",61,8,506-517
Water Supply 4:5-6 (2005) 383-388 - D.M. Rogers - Network analysis models - the secret for success,Customer,Selected,Rogers 2005,D.M. Rogers,2005,Network analysis models - the secret for success,Water Supply,4,5-6,383-388
Water Science & Technology: Water Supply-WSTWS 10:3 (2010) 428-436 - L. Rosen et al. - Comparing risk-reduction measures to reach water safety targets using an integrated fault tree model,Consumer,Selected,Rosen et al. 2010,L. Rosen,2010,Comparing risk-reduction measures to reach water safety targets using an integrated fault tree model,Water Science & Technology: Water Supply-WSTWS,10,3,428-436
Water Science & Technology: Water Supply-WSTWS 10:3 (2010) 428-436 - L. Rosen et al. - Comparing risk-reduction measures to reach water safety targets using an integrated fault tree model,Customer,Selected,Rosen et al. 2010,L. Rosen,2010,Comparing risk-reduction measures to reach water safety targets using an integrated fault tree model,Water Science & Technology: Water Supply-WSTWS,10,3,428-436
"Water Supply 2:4 (2002) 197-202 - P. Rousseau and E. Tranchant - Business partners for development-KwaZulu-Natal pilot project, South Africa: a new approach to the delivery of sustainable water and sanitation services in poor peri-urban areas",Customer,Selected,Rousseau and Tranchant 2002,P. Rousseau and E. Tranchant,2002,"Business partners for development-KwaZulu-Natal pilot project, South Africa: a new approach to the delivery of sustainable water and sanitation services in poor peri-urban areas",Water Supply,2,4,197-202
Journal of Water Supply: Research and Technology-AQUA 57:4 (2008) 273-278 - Anthony Rouxel et al. - Performance indicators and customer management: ACEA benchmarking experiences in water services in Latin America,Customer,Selected,Rouxel et al. 2008,Anthony Rouxel,2008,Performance indicators and customer management: ACEA benchmarking experiences in water services in Latin America,"Journal of Water Supply, Research and Technology---Aqua",57,4,273-278
Journal of Water and Health (2015) - An evaluation of the readability of drinking water quality reports: a national assessment,Consumer,Selected,Roy et al. 2015,Siddhartha Roy and Katherine Phetxumphou and Andrea M. Dietrich and Paul A. Estabrooks and Wen You and Brenda M. Davy,2015,An evaluation of the readability of drinking water quality reports: a national assessment,Journal of Water and Health,,,
Water Supply 18:1 (2000) 504-508 - M. Ruas Dos Santos - Marketing water as a product serving customers,Marketing,Selected,Ruas Dos Santos 2000,M. Ruas Dos Santos,2000,Marketing water as a product serving customers,Water Supply,18,1,504-508
Journal of Water Supply: Research and Technology-AQUA 63:2 (2014) 139-145 - Kyohei Sakaki et al. - Development of comprehensive evaluation procedure for anti-seismic strategies: evaluating Kobe City's earthquake resistance improvement plan from the customer's viewpoint,Customer,Selected,Sakaki et al. 2014,Kyohe Sakaki,2014,Development of comprehensive evaluation procedure for anti-seismic strategies: evaluating Kobe City's earthquake resistance improvement plan from the customer's viewpoint,"Journal of Water Supply, Research and Technology---Aqua",63,2,139-145
Water Policy 10:3 (2008) 295-304 - Amer Salman et al. - Limits of pricing policy in curtailing household water consumption under scarcity conditions,Consumer,Selected,Salman et al. 2008,Amer Salman,2008,Limits of pricing policy in curtailing household water consumption under scarcity conditions,Water Policy,10,3,295-304
Water Science & Technology 20:8-9 (1988) 37-42 - H. Sano - The Detection of Taste and Odor in Osaka?s Drinking Water,Consumer,Selected,Sano 1988,H. Sano,1988,The Detection of Taste and Odor in Osaka's Drinking Water,Water Science & Technology,20,8-9,37-42
Water Policy 13:4 (2011) 459-470 - Maria Pascual Sanz et al. - Consumer-inclusive economic regulation: water pricing under different regulatory regimes,Consumer,Selected,Sanz et al. 2011,Maria Pascual Sanz,2011,Consumer-inclusive economic regulation: water pricing under different regulatory regimes,Water Policy,13,4,459-470
Water Science & Technology 55:5 (2007) 95-102 - T. Satchwill et al. - Odourous algal-derived alkenes: differences in stability and treatment responses in drinking water,Customer,Selected,Satchwill et al. 2007,T. Satchwill,2007,Odourous algal-derived alkenes: differences in stability and treatment responses in drinking water,Water Science & Technology,55,5,95-102
Water Science & Technology 49:2 (2004) 27-32 - A. Seth et al. - Characterisation of materials causing discolouration in potable water systems,Customer,Selected,Seth et al. 2004,A. Seth,2004,Characterisation of materials causing discolouration in potable water systems,Water Science & Technology,49,2,27-32
Water Science & Technology: Water Supply 13:4 (2013) 1161-1166 - Alemtsehay G. Seyoum et al. - Assessment of water quality modelling capabilities of EPANET multiple species and pressure-dependent extension models,Customer,Selected,Seyoum et al. 2013,Alemtsehay G. Seyoum,2013,Assessment of water quality modelling capabilities of EPANET multiple species and pressure-dependent extension models,Water Science & Technology: Water Supply,13,4,161-116
Journal of Hydroinformatics 15:3 (2013) 862-880 - M. Ehsan Shafiee and Emily M. Zechman - An agent-based modeling framework for sociotechnical simulation of water distribution contamination events,Consumer,Selected,Shafiee and Zechman 2013,M. Ehsan Shafiee and Emily M. Zechman,2013,An agent-based modeling framework for sociotechnical simulation of water distribution contamination events,Journal of Hydroinformatics,15,3,862-880
Water Science & Technology 21:2 (1989) 183-187 - L. I. Sly et al. - The Importance of High Aesthetic Quality Potable Water in Tourist and Recreational Areas,Consumer,Selected,Sly et al. 1989,L I. Sly,1989,The Importance of High Aesthetic Quality Potable Water in Tourist and Recreational Areas,Water Science & Technology,21,2,183-187
Water Supply 3:1-2 (2003) 381-388 - A. Speers et al. - Setting and evaluating customer service standards,Customer,Selected,Speers et al. 2003,A. Speers,2003,Setting and evaluating customer service standards,Water Supply,3,1-2,381-388
"Scott W. Stine, Ian L. Pepper, Charles P. Gerba, Contribution of drinking water to the weekly intake of heterotrophic bacteria from diet in the United States, Water Research, Volume 39, Issue 1, January 2005, Pages 257-263, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2004.09.010.",Consumer,Selected,Stine et al. 2005,Scott W. Stine and Ian L. Pepper and Charles P. Gerba,2005,Contribution of drinking water to the weekly intake of heterotrophic bacteria from diet in the United States,Water Research,39,1,257-263
"Water Science & Technology: Water Supply-WSTWS 8:2 (2008) 135-141 - I. H. (Mel) Suffet et al. - Controlling taste and odour events for the city of Philadelphia, USA: a case study",Consumer,Selected,Suffet et al. 2008,I.H. Suffet,2008,"Controlling taste and odour events for the city of Philadelphia, USA: a case study",Water Science & Technology: Water Supply-WSTWS,8,2,135-141
Water Science and Technology 39:5 (1999) 65-72 - P. M. J. Terpstra - Sustainable water usage systems: models for the sustainable utilization of domestic water in urban areas,Consumer,Selected,Terpstra 1999,P. M. J. Terpstra,1999,Sustainable water usage systems: models for the sustainable utilization of domestic water in urban areas,Water Science and Technology,39,5,65-72
Water Science & Technology: Water Supply-WSTWS 8:2 (2008) 197-205 - Christophe Tondelier et al. - Novel on-tap passive sampling for odorous compounds in drinking water,Consumer,Selected,Tondelier et al. 2008,Christophe Tondelier,2008,Novel on-tap passive sampling for odorous compounds in drinking water,Water Science & Technology: Water Supply,8,2,197-205
Water Supply 5:2 (2005) 47-51 - E.A. Trietsch and J.H.G. Vreeburg - Reliability of valves and section isolation,Customer,Selected,Trietsch and Vreeburg 2005,E.A. Trietsch and J.H.G. Vreeburg,2005,Reliability of valves and section isolation,Water Supply,5,2,47-51
Water Supply 2:3 (2002) 259-266 - W. Uhl et al. - Preventing bacterial regrowth in old distribution systems without disinfection,Consumer,Selected,Uhl et al. 2002,W. Uhl,2002,Preventing bacterial regrowth in old distribution systems without disinfection,Water Supply,2,3,259-266
Water Practice & Technology 3:2 (2008) - Emmanuel Van Houtte and ir. Johan Verbauwhede - Torreele's water re-use facility enabled sustainable groundwater management in de Flemish dunes (Belgium),Customer,Selected,Van Houtte and Verbauwhede 2008,Emmanuel Van Houtte and Johan Verbauwhede,2008,Torreele's water re-use facility enabled sustainable groundwater management in de Flemish dunes (Belgium),Water Practice & Technology,3,2,
"J. Hein M. van Lieverloo, Wim Hoogenboezem, Gerrit Veenendaal, Dick van der Kooij, Variability of invertebrate abundance in drinking water distribution systems in the Netherlands in relation to biostability and sediment volumes, Water Research, Volume 46, Issue 16, 15 October 2012, Pages 4918-4932, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2012.03.047.",Consumer,Selected,van Lieverloo et al.  2012,J. Hein M. van Lieverloo and Wim Hoogenboezem and Gerrit Veenendaal and Dick van der Kooij,2012,Variability of invertebrate abundance in drinking water distribution systems in the Netherlands in relation to biostability and sediment volumes,Water Research,46,16,4918-4932
"J.Hein M. van Lieverloo, Dick W. Bosboom, Geo L. Bakker, Anke J. Brouwer, Remko Voogt, Josje E.M. De Roos, Sampling and quantifying invertebrates from drinking water distribution mains, Water Research, Volume 38, Issue 5, March 2004, Pages 1101-1112, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2003.11.021.",Consumer,Selected,van Lieverloo et al. 2004,J.Hein M. van Lieverloo and Dick W. Bosboom and Geo L. Bakker and Anke J. Brouwer and Remko Voogt and Josje E.M. De Roos,2004,Sampling and quantifying invertebrates from drinking water distribution mains,Water Research,38,5,1101-1112
Journal of Hydroinformatics 15:1 (2013) 86-102 - Peter van Thienen - A method for quantitative discrimination in flow pattern evolution of water distribution supply areas with interpretation in terms of demand and leakage,Customer,Selected,van Thienen 2013,Peter van Thienen,2013,A method for quantitative discrimination in flow pattern evolution of water distribution supply areas with interpretation in terms of demand and leakage,Journal of Hydroinformatics,15,1,86-102
"Water Practice & Technology 3:1 (2008) - van de Veerdonk, Caroline, Van Essen, Jan, Dekker and Jos - Risks and keeping customers' confidence: the key role of consumers' perception regarding the safety of tap water",Customer,Selected,Veerdonk et al 2008,"van de Veerdonk, Caroline and Van Essen, Jan and Dekker, Jos",2008,Risks and keeping customers' confidence: the key role of consumers' perception regarding the safety of tap water,Water Practice & Technology,3,1,
Water Science & Technology 44:2-3 (2001) 119-126 - A.E. von Seidlitz and J. Londong - Modern management instruments - control of a water resources management association by means of an agreement on targets (balanced scorecard),Customer,Selected,von Seidlitz and Londong 2001,A.E. von Seidlitz and J. Londong,2001,Modern management instruments - control of a water resources management association by means of an agreement on targets (balanced scorecard),Water Science & Technology,44,2-3,119-126
"Ir J.H.G. Vreeburg, Dr. J.B. Boxall, Discolouration in potable water distribution systems: A review, Water Research, Volume 41, Issue 3, February 2007, Pages 519-529, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2006.09.028.",Customer,Selected,Vreeburg and Boxall 2007,J.H.G. Vreeburg and J.B. Boxall,2007,Discolouration in potable water distribution systems: A review,Water Research,41,3,519-529
"J.H.G. Vreeburg, D. Schippers, J.Q.J.C. Verberk, J.C. van Dijk, Impact of particles on sediment accumulation in a drinking water distribution system, Water Research, Volume 42, Issue 16, October 2008, Pages 4233-4242, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2008.05.024.",Customer,Selected,Vreeburg et al. 2008,J.H.G. Vreeburg and D. Schippers and J.Q.J.C. Verberk and J.C. van Dijk,2008,Impact of particles on sediment accumulation in a drinking water distribution system,Water Research,42,16,4233-4242
Journal of Water Supply: Research and Technology?AQUA (2015) - Taste and odour and public perceptions: what do our customers really think about their drinking water?,Customer,Selected,Webber et al. 2015,Michael A. Webber and Paul Atherton and Gayle Newcombe,2015,Taste and odour and public perceptions: what do our customers really think about their drinking water?,Journal of Water Supply: Research and Technology---AQUA,,,
"Andrew J. Whelton, Andrea M. Dietrich, Relationship between intensity, concentration, and temperature for drinking water odorants, Water Research, Volume 38, Issue 6, March 2004, Pages 1604-1614, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2003.11.036.",Consumer,Selected,Whelton and Dietrich 2004,Andrew J. Whelton and Andrea M. Dietrich,2004,"Relationship between intensity, concentration, and temperature for drinking water odorants",Water Research,38,6,1604-1614
Water Science & Technology 55:5 (2007) 283-291 - A.J. Whelton et al. - Minerals in drinking water: impacts on taste and importance to consumer health,Consumer,Selected,Whelton et al. 2007,A.J. Whelton,2007,Minerals in drinking water: impacts on taste and importance to consumer health,Water Science & Technology,55,5,283-291
Water Science & Technology-WST 62:2 (2010) 370-377 - I. White - Rainwater harvesting: theorising and modelling issues that influence household adoption,Marketing,Selected,White 2010,I. White,2010,Rainwater harvesting: theorising and modelling issues that influence household adoption,Water Science & Technology-WST,62,2,370-377
Water Policy 5:1 (2003) 61-76 D.Whittington - Municipal water pricing and tariff design: a reform agenda for South Asia,Customer,Selected,Whittington 2003,D. Whittington,2003,Municipal water pricing and tariff design: a reform agenda for South Asia,Water Policy,5,1,61-76
Water Science & Technology 55:5 (2007) 293-300 - K.E. Wiesenthal et al. - Characteristics of salt taste and free chlorine or chloramine in drinking water,Consumer,Selected,Wiesenthal 2007,K.E. Wiesenthal,2007,Characteristics of salt taste and free chlorine or chloramine in drinking water,Water Science & Technology,55,5,293-300
Water Science & Technology 45:8 (2002) 229-231 - Anders Wijkman and Line Gordon - Workshop 9 (synthesis): how to increase the status of water issues in governance and in public perception,Marketing,Selected,Wijkman and Gordon 2002,Anders Wijkman and Line Gordon,2002,Workshop 9 (synthesis): how to increase the status of water issues in governance and in public perception,Water Science & Technology,45,8,229-231
"Water Science & Technology: Water Supply 12:4 (2012) 451-462 - Alan Wyatt and Mohammad Alshafey - Non-revenue water: financial model for optimal management in developing countries - application in Aqaba, Jordan",Customer,Selected,Wyatt and Alshafey 2012,Alan Wyatt and Mohammad Alshafey,2012,"Non-revenue water: financial model for optimal management in developing countries - application in Aqaba, Jordan",Water Supply,12,4,451-462
"Pengchao Xie, Jun Ma, Wei Liu, Jing Zou, Siyang Yue, Xuchun Li, Mark R. Wiesner, Jingyun Fang, Removal of 2-MIB and geosmin using UV/persulfate: Contributions of hydroxyl and sulfate radicals, Water Research, Volume 69, 1 February 2015, Pages 223-233, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2014.11.029.",Consumer,Selected,Xie et al. 2015,Pengchao Xie and Jun Ma and Wei Liu and Jing Zou and Siyang Yue and Xuchun Li and Mark R. Wiesner and Jingyun Fang,2015,Removal of 2-MIB and geosmin using UV/persulfate: Contributions of hydroxyl and sulfate radicals,Water Research,69,1,223-233
Water Policy 15:4 (2013) 648-668 - David N. Yates et al. - Using economic and other performance measures to evaluate a municipal drought plan,Customer,Selected,Yates 2013,David N. Yates,2013,Using economic and other performance measures to evaluate a municipal drought plan,Water Policy,15,4,648-668
Water Policy 15:4 (2013) 648-668 - David N. Yates et al. - Using economic and other performance measures to evaluate a municipal drought plan,Consumer,Selected,Yates 2013,David N. Yates,2013,Using economic and other performance measures to evaluate a municipal drought plan,Water Policy,15,4,648-668
"W.F. Young, H. Horth, R. Crane, T. Ogden, M. Arnott, Taste and odour threshold concentrations of potential potable water contaminants, Water Research, Volume 30, Issue 2, February 1996, Pages 331-340, ISSN 0043-1354, http://dx.doi.org/10.1016/0043-1354(95)00173-5.",Consumer,Selected,Young et al. 1996,W.F. Young and H. Horth and R. Crane and T. Ogden and M. Arnott,1996,Taste and odour threshold concentrations of potential potable water contaminants,Water Research,30,2,331-340
"Amy K. Zander, Patricia Pingert, Membrane-based extraction for detection of tastes and odors in water, Water Research, Volume 31, Issue 2, February 1997, Pages 301-309, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(96)00254-0.",Consumer,Selected,Zander and Pingert 1997,Amy K. Zander and Patricia Pingert,1997,Membrane-based extraction for detection of tastes and odors in water,Water Research,31,2,301-309
Water Practice & Technology 3:1 (2008) - Juan Zubizarreta - DROUGHT MANAGEMENT AND CUSTOMER SERVICE,Customer,Selected,Zubizarreta 2008,Juban Zubizarreta,2008,Drought management and customer service,Water Practice & Technology,3,1,
"Xiaohui Bai, Xinghua Zhi, Huifeng Zhu, Mingqun Meng, Mingde Zhang, Real-time ArcGIS and heterotrophic plate count based chloramine disinfectant control in water distribution system, Water Research, Volume 68, 1 January 2015, Pages 812-820, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2014.10.041.",Consumer,Not retail,,,,,,,,
"Maria Berrittella, Arjen Y. Hoekstra, Katrin Rehdanz, Roberto Roson, Richard S.J. Tol, The economic impact of restricted water supply: A computable general equilibrium analysis, Water Research, Volume 41, Issue 8, April 2007, Pages 1799-1813, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2007.01.010.",Marketing,Not retail,,,,,,,,
Water Science & Technology 68:7 (2013) 1454-1460 - A. Bruchet et al. - Monitoring and treatment of selected nanoparticles,Consumer,Not retail,,,,,,,,
"Annamaria Buschini, Federica Giordani, Claudia Pellacani, Carlo Rossi, Paola Poli, Cytotoxic and genotoxic potential of drinking water: A comparison between two different concentration methods, Water Research, Volume 42, Issues 8–9, April 2008, Pages 1999-2006, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2007.12.005.",Consumer,Not retail,,,,,,,,
"P.T. Cardew, A method for assessing the effect of water quality changes on plumbosolvency using random daytime sampling, Water Research, Volume 37, Issue 12, July 2003, Pages 2821-2832, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(03)00120-9.",Customer,Not retail,,,,,,,,
Journal of Water and Health 07:1 (2009) 123-131 - P. T. Cardew - Measuring the benefit of orthophosphate treatment on lead in drinking water,Customer,Not retail,,,,,,,,
Water Supply 5:3-4 (2005) 197-208 - S. Chung et al. - Identification of key local factors influencing revenue water ratio of Korean cities using principal component analysis and clustering analysis,Customer,Not retail,,,,,,,,
Water Supply 3:1-2 (2003) 359-364 - P. Nadebaum et al. - Application of quality management systems for drinking water quality,Customer,Not retail,,,,,,,,
J Water SRT - Aqua 52 (2003) John D. Eisnor and Graham A. Gagnon - A framework for the implementation and design of pilot-scale distribution systems,Customer,Not retail,,,,,,,,
"Briony C. Ferguson, Rebekah R. Brown, Niki Frantzeskaki, Fjalar J. de Haan, Ana Deletic, The enabling institutional context for integrated water management: Lessons from Melbourne, Water Research, Volume 47, Issue 20, 15 December 2013, Pages 7300-7314, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2013.09.045.",Marketing,Not retail,,,,,,,,
Water Science & Technology: Water Supply 15:1 (2015) 173-180 - A. Fortunato et al. - Evaluation of statistical sampling for the assessment of residential consumption totals in water distribution networks,Customer,Not retail,,,,,,,,
Journal of Water Supply: Research and Technology-AQUA 58:7 (2009) 488-509 - Alex Francisque et al. - Prioritizing monitoring locations in a water distribution network: a fuzzy risk approach,Consumer,Not retail,,,,,,,,
Water Science & Technology: Water Supply 11:1 (2011) 107-112 - A. Grefte et al. - Improving the biological stability of drinking water by ion exchange,Consumer,Not retail,,,,,,,,
"A.C. Hambly, R.K. Henderson, M.V. Storey, A. Baker, R.M. Stuetz, S.J. Khan, Fluorescence monitoring at a recycled water treatment plant and associated dual distribution system – Implications for cross-connection detection, Water Research, Volume 44, Issue 18, October 2010, Pages 5323-5333, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2010.06.003.",Consumer,Not retail,,,,,,,,
Journal of Hydroinformatics 17:2 (2015) 307-328 - Donghwi Jung et al. - Improving the rapidity of responses to pipe burst in water distribution systems: a comparison of statistical process control methods,Customer,Not retail,,,,,,,,
"A Katz, N Narkis, Removal of chlorine dioxide disinfection by-products by ferrous salts, Water Research, Volume 35, Issue 1, January 2001, Pages 101-108, ISSN 0043-1354, http://dx.doi.org/10.1016/S0043-1354(00)00250-5.",Consumer,Not retail,,,,,,,,
Water Science & Technology: Water Supply-WSTWS 8:5 (2008) 527-532 - K. Henne et al. - Polyvalent fingerprint based molecular surveillance methods for drinking water supply systems,Consumer,Not retail,,,,,,,,
"Sheldon Masters, Hong Wang, Amy Pruden, Marc A. Edwards, Redox gradients in distribution systems influence water quality, corrosion, and microbial ecology, Water Research, Volume 68, 1 January 2015, Pages 140-149, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2014.09.048.",Consumer,Not retail,,,,,,,,
Journal of Water Supply: Research and Technology-AQUA 56:1 (2007) 13-24 - Yoshihiko Matsui et al. - Suspended particles and their characteristics in water mains: developments of sampling methods,Consumer,Not retail,,,,,,,,
Water Science & Technology 47:3 (2003) 241-247 - G.J. Medema et al. - Quantitative risk assessment of Cryptosporidium in surface water treatment,Consumer,Not retail,,,,,,,,
"Damien Mouly, Eric Joulin, Christophe Rosin, Pascal Beaudeau, Abdelkrim Zeghnoun, Agnès Olszewski-Ortar, Jean François Munoz, Bénédicte Welté, Michel Joyeux, René Seux, Antoine Montiel, M.J. Rodriguez, Variations in trihalomethane levels in three French water distribution systems and the development of a predictive model, Water Research, Volume 44, Issue 18, October 2010, Pages 5168-5179, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2010.06.028.",Consumer,Not retail,,,,,,,,
"Water Practice & Technology 6:3 (2011) - H. E. Mutikanga, K. Vairavamoorthy, S. K. Sharma and C. S. Akita - Operational Tools for Decision Support in Leakage Control",Customer,Not retail,,,,,,,,
Water Science & Technology: Water Supply-WSTWS 9:5 (2009) 565-575 - C. Ocampo-Martinez et al. - Improving water management efficiency by using optimization-based control strategies: the Barcelona case study,Consumer,Not retail,,,,,,,,
"Ziv Ohar, Ori Lahav, Avi Ostfeld, Optimal sensor placement for detecting organophosphate intrusions into water distribution systems, Water Research, Volume 73, 15 April 2015, Pages 193-203, ISSN 0043-1354, http://dx.doi.org/10.1016/j.watres.2015.01.024.",Consumer,Not retail,,,,,,,,
Journal of Water Supply: Research and Technology?AQUA (2015) - The Bullwhip effect in water demand management: taming it through an artificial neural networks-based system,Customer,Not retail,,,,,,,,
Water Science and Technology 35:11-12 (1997) 55-58 - J. E. Naranjo et al. - Evaluation of a portable water purification system for the removal of enteric pathogens,Consumer,Not retail,,,,,,,,
